rung	status	gate	goldens_moved	review	commit	note
R4e	DONE	build+ctest 432/432	0	(same review)	50f6e21c1	FINE LAKE MIRRORS (stance root fix): WATER_INTERIOR_GRID_M 250->100 (sag 1.04->0.17m), [water] surface_lift_m 1.2->0.4 (rivers reuse); 75 lakes 58686 verts (Wanapitei mirror intact, sag assert live). Stance trade COLLAPSED: 1.5-vs-2.7 spread -> 1.5-vs-~1.9; [ground] contact_height_m 2.0 UNTOUCHED (Chad's dial; try 1.7)
R4-TAILS-FLY	HALT	build+ctest 432/432	0	n/a	-	HALT — Chad RE-TESTS EVERYTHING (his ask): (1) land a ROAD: sits ON terrain, no hover/stitch (dial [ribbons] lift_m 0.45: raise 0.7 if stitching, drop 0.25 if hover reads); (2) land a LAKE: stance (surface_lift 0.4; watch shimmer/holes at grazing -> 0.7); (3) ground ROLL on the 5mm field (the R1 goal: 1.4m steps gone); (4) stance dial contact_height 2.0 (recommend try 1.7); (5) terrain look at tiles=2 (24 meshes/1.9M tris — watch fps; tiles=1 reverts). Smoke evidence: shots/r4tails_day.png + shots/r4d_low_day.png. THEN fork sandbox/fields-forge -> Phase 2 R5 GravityField
R4-TAILS-FLY-1	DONE	n/a	n/a	Chad's stick (2026-07-15)	-	VERDICT: ROAD landing "very good" (R4d APPROVED); hillside landing WORKED; lake good EXCEPT "sunk down near the shore" (= the shore facet protrusion, measured p90 +3.1m at T=2 — terrain facets from land verts ride above the lake surface near shore, plane reads buried). NEW ASKS: (a) building COLLISION ("go right through houses — easily bake those in?"); (b) wheel BRAKES (rudder ground-steering already works); (c) hard ground turn dipped WINGS below terrain (attitude free while GROUNDED). -> R4-FLY-4 session: shore fix + R4f building collision + R4g brakes + grounded attitude constraint
PLAN	PLAN	n/a	n/a	fable design consult: 2xP0 pre-build (align in ground_contact = integrator-clobbered dead code -> post-rotation block; fixed-cell collider search under-searches -> span insertion) + base-margin band + brake forwarding sites enumerated	-	R4-FLY-4 designs vetted (brakes GREENLIGHT, align HOLD-fixed, buildings GREENLIGHT-WITH-FIXES)
SHORE	DONE	build+ctest 440/440	0	(in the R4fg review)	eb69d47ef	SHORE-BANK CAP (Chad: 'sunk down in a lake near the shore'): shore-adjacent terrain facets protruded over the mirror p90 +3.1m at T=2; bake caps land within 150m of water at nearest-lake-level + 3% grade (M2 normal UNCAPPED - banks keep steep shading, geometry landable). After: p90 +0.50 / p99 +2.27m. Keys: SHORE_BANK_BAND_M/RAMP (bake). Lock hash unchanged
R4f	DONE	build+ctest 440/440	0	adversarial rd1 GREENLIGHT-WITH-FIXES; rd2 folds confirmed except ring placement (REJECTED empirically - planar-bound mutant survived at 87.5deg); rd3 relocated poleward of 89deg + MUTATION-VERIFIED (planar revert fails suite)	eb69d47ef+a06e9024a+7dc7804fd	BUILDING COLLISION ('I go right through houses'): the bake already ships 86,347 per-footprint colliders (COLL: center dir + equiv-area radius + height, heroes excluded). world/buildings.{h,cpp} pure: SPAN-INSERTED uv index (exact spherical u-span asin(sin cap/cos lat)), hit = chord-dist AND base-margin<=r<=base+height, base=radius_at(center) (one crash surface); env.obstacles null=ghosts; crash both branches; drones share (spawn 2000m AGL - no crash-loop today, bandit-AI avoidance = ballistics-forge carry-in). Keys: [buildings] collide/inflate_m 3.0/base_margin_m 5.0. Hero glTFs have NO colliders (deferred)
R4g	DONE	build+ctest 440/440	0	(same review; brake app-chain P1 folded as tick+step_frame divergence legs)	eb69d47ef+a06e9024a	WHEEL BRAKES (held B, passthrough thru all 4 forwarding sites; GROUNDED dec=(friction+brake*brake_friction)*g, stiction clamp = the runup hold; [ground] brake_friction 0.35 placeholder, deliberately past the accelerate check) + GROUNDED ROLL ALIGN ('wings sink below ground on a hard turn': roll about body-fwd rate-driven to the terrain normal AFTER rotation integration - the Fable P0; pitch rotate + rudder yaw fully live; omega_z zeroed; [ground] roll_align_rate_deg_s 120 placeholder, 0=off bit-identical). 9 new ATs incl wingtip-above-terrain killer + app-chain divergence + index==brute-force
R4-FLY-5	HALT	build+ctest 440/440	0	n/a	-	HALT — Chad RE-FLIES: (1) LAKE near shore (banks capped: plane visible at typical shores now; p99 tail ~2.3m on rocky narrows remains); (2) HOUSES solid: fly into one = crash, land beside = fine (dials [buildings] inflate_m 3.0 - clipping a long warehouse CORNER may still ghost, raise it if felt; collide=false reverts); (3) BRAKES = hold B on the roll (dial [ground] brake_friction 0.35; full brake + full throttle holds = runup); (4) hard ground turn: wings stay level now (dial roll_align_rate_deg_s 120: raise if a wing still digs, lower if touchdown leveling snaps); (5) stance rec unchanged: try contact_height_m 1.7. Road landing already ruled 'very good'. THEN fork sandbox/fields-forge -> R5
R4-FLY-5-1	DONE	n/a	n/a	Chad's stick (2026-07-15)	-	VERDICT: building collision APPROVED ('crashed into a building :) success!'); brakes WORKED; landed+stopped on a road. RULINGS: (a) REVERT the roll align - wings must BANK on the ground and DAMAGE on terrain strike ('consequences for bad taxiing, not force them to not bank'); (b) ground loop: turn too fast on the ground -> rotate + CRASH; (c) brake too hard -> pitch-down attitude + PROP BREAKS; (d) wants the ballistics-forge GUNS + DAMAGE MODEL on this branch ('relevant now'); (e) throttle -> mouse thumb buttons (MB4 down-then-brake past zero, MB5 up); (f) controls need AIRSPEED (rudder dead at a stop; kill the q_att_floor while grounded); (g) wheels sit ONE WHEEL HEIGHT under the road deck (contact 2.0 vs deck 0.45 - geometric fix 2.45); (h) mouse aimer color should match the plane (his = blue). -> R4-FLY-5 build session
R4-FLY-5	DONE	build+ctest 526/526	0	fable design consult (merge recon HEAVY, resolution contract) + adversarial: consequences SOUND-WITH-FIXES (P1 exclusion AT mutation-verified + 2xP2 folded; grace-bank P2 deferred to fly), MERGE SOUND (empty sim/+control/ diff — no kernel smuggling), damage wiring SOUND	504c5c3b1+129bc0cb7+5d8eb0b4d+ba1c7d36f	ALL of Chad's fly-5 rulings BUILT: (1) roll-align REVERTED (toml 0, dormant) — CONSEQUENCES replace it: GROUND LOOP (lateral > ground_loop_lat_g 0.55 = crash), WING STRIKE (tip below terrain -> chips the struck wing (v/ref)^2*rate via the damage model), NOSE-OVER (braking pitches down brake_pitch_rate 30deg/s; below prop_strike 8deg = PROP BREAKS -> engine 0 dead-stick; brakeless slams strike too); (2) BALLISTICS-FORGE MERGED (129bc0cb7): guns + bandit combat AI + component damage model + combat audio now live on the Environment seam — drone::tick(env, player), app::tick(+cw), 526-test union suite, ground events feed the SAME DamageState as bullets; (3) controls need AIRSPEED (true q grounded, dead stick at rest, integrator frozen); (4) MOUSE THUMB throttle (MB5 up / MB4 down-then-brake); (5) stance contact 2.45 (wheels ON the road deck); (6) aim reticle wears the plane's own blue
R4-FLY-6	HALT	build+ctest 526/526	0	n/a	-	HALT — Chad RE-FLIES with GUNS + DAMAGE LIVE: (1) taxi hard turn -> ground loop crash (dial ground_loop_lat_g 0.55); (2) bank on the ground -> wing chips, watch the HP bar ([damage] ground_wing_ref_ms 40 / rate 3.0); (3) brake hard from speed -> nose dips -> prop breaks -> dead stick (brake_pitch_rate 30 / prop_strike 8deg); (4) rudder dead at a stop, wakes with the roll; (5) MB4/MB5 throttle (if the thumb buttons are swapped on his mouse, swap SIDE/EXTRA in input/*.cpp); (6) wheels ON the road deck now (contact 2.45); (7) blue aimer; (8) guns/combat (LMB fire, bandits return fire) on the terrain world. NOTE for the loop: the ballistics-forge branch is now CONSUMED into solid-ground — future combat work continues HERE
R4-FLY-6-1	DONE	n/a	n/a	Chad's stick (2026-07-15)	-	VERDICT: stop mechanics GOOD; no yaw/pitch/roll at stop GOOD; wingtip-touch-on-landing = crash REGISTERED (accepted for now; crash ANIMATION deferred; respawn-timing quirk noted OK). DEFECTS/ASKS for the NEXT session: (a) braking while SLOW still tips forward (had to be careful) -> scale the nose-dip pitch rate by speed (ramp ~0 at 2 m/s -> full by ~12; new dial or min(1, sp/12) factor in ground_dynamics part 3); (b) 'stopped keeps brake on + throttle up wont get me rolling' -> PRIME SUSPECT: MB5/forward thumb maps to raylib MOUSE_BUTTON_FORWARD(5) on his mouse, not EXTRA(4) — throttle-up dead. FIX: accept EXTRA||FORWARD for up, SIDE||BACK for down/brake (input/{raw,live}_input.cpp); also verify no brake latch (thumb_brake requires MB4 HELD - holding MB4+MB5 together nets throttle 0 and keeps brake, document the runup); (c) HUD BRAKE INDICATOR near the ballistics flaps gauge (render/draw.cpp, the color-coded FLAPS CLEAN/COMBAT/LANDING centered low) - show BRAKE when wheel_brake>0 (thread via FrameInfo like flaps); (d) TOUCHDOWN FX: dust puff on the airborne->on_ground capture tick (detect in app::tick, thread an event to render) - material by surface: lake (kSudburyLakes center/span circle test v1) = SPLASH, winter season = ICE CRYSTALS, else DUST; reuse the combat-FX/smoke puff pattern. PROCESS: fly checklists go INLINE in the reply (memory saved)
R4b	DEFERRED	n/a	n/a	Chad's stick (R4-FLY-4/5 verdicts)	-	DEFERRED per the ladder's own clause (Phase-1 time spent): rudder ground-steering already WORKS (Chad R4-FLY-4) + brakes landed (R4g) + ground consequences replace forced leveling (R4-FLY-5 rulings); the friction+steering kernel regime stays OPT-IN, build only if a fly-verdict asks. Unblocks the picker -> R4-POLISH
PLAN	PLAN	n/a	n/a	n/a	-	R4-POLISH block added to scarce_skies_program.md ladder (Chad's R4-FLY-6 verdicts as rungs: R4h speed-scaled brake nose-dip [ground] noseover_full_speed_ms / R4i thumb-button dual-bind EXTRA||FORWARD + SIDE||BACK / R4j HUD BRAKE tag via FrameInfo / R4k touchdown FX on the capture tick -> R4-FLY-7 HALT, checklist INLINE) + Phase-2 header now states the fork precondition = R4-FLY-7 approval. Next rung = R4h
R4h	DONE	build+ctest 528/528	0	adversarial rd1 GREENLIGHT-WITH-FIXES + rd2 CONFIRMED-GREENLIGHT (block review, both rounds fresh-context; P2-1 test leg MUTATION-PROVEN: first-edge latch fails reports==edges 1==2)	2acb55744	SPEED-SCALED BRAKE NOSE-DIP (Chad fly-6: slow braking still tips forward): dip rate x min(1, sp/noseover_full_speed_ms) in ground_dynamics part 3 -- a crawl-stop cannot nose over (peak ~3.8deg vs 8deg strike at 6 m/s), braking from speed still breaks the prop. Key: [ground] noseover_full_speed_ms 12.0 (0 = unscaled bit-identical; loader band [0,100] so a typo cannot silently delete the consequence). AT legs: baseline-strikes(dial 0)/crawl-safe/speed-strikes
R4i	DONE	build+ctest 528/528	0	(same review)	2acb55744	THUMB DUAL-BIND (fly-6: stopped keeps brake on + throttle wont get me rolling -- prime suspect CONFIRMED as mapping): both raylib codes accepted per thumb (EXTRA||FORWARD up, SIDE||BACK down-then-brake) in raw+live input; verified NO brake latch exists (wheel_brake re-derived per poll); MB4+MB5 held = throttle 0 + brake = the RUNUP (by design, documented)
R4j	DONE	build+ctest 528/528	0	(same review)	2acb55744	HUD BRAKE TAG: red BRAKE plate left of the color-coded FLAPS gauge (centered low), lit iff the EMITTED Inputs carry wheel_brake>0 (info.player_inputs = what sim::step consumed, RA9 -- the tag cannot disagree with the wheels). Tag visible == brake applied
R4k	DONE	build+ctest 528/528	0	(same review; P1-1 folded: lake span_m = sqrt(area) NOT a radius -> r = span/sqrt(pi), raw span over-covered round lakes 1.77x = splash on dry shoreland)	2acb55744	TOUCHDOWN FX (fly-6: something to indicate touchdown): app::tick reports the airborne->GROUNDED capture EDGE (pos+speed, per-edge incl bounces, mutation-proven AT); main.cpp decides material (winter=ICE / lake equiv-disk=SPLASH / else DUST) + fx_spawns at the wheels w/ 0.6s rate limit vs the grace micro-cycle; closed-form additive puff ring in the draw. Keys: [fx] touchdown_ref_speed_ms 40 / touchdown_intensity 1.0 (band 0..2 == render cap). Smoke: shots/r4polish_smoke.png (app renders; burst needs a live landing = fly evidence)
R4-FLY-7	HALT	build+ctest 528/528	0	n/a	-	HALT -- Chad FLIES the four fly-6 fixes: (1) brake to a stop SLOWLY -- no nose-over even careless (dial [ground] noseover_full_speed_ms 12: raise if crawl stops still tip, lower if braking feels toothless); (2) from a stop: forward thumb spools throttle up NOW (both button codes bound; MB4+MB5 together = runup by design); (3) BRAKE tag beside the flaps gauge answers is-the-brake-stuck on sight; (4) touchdown puff: DUST on a field/road, SPLASH on a lake, ICE in winter (dial [fx] touchdown_intensity 0..2). THEN fork sandbox/fields-forge from this green HEAD -> Phase 2 / R5 GravityField (carry-ins: atm_frac(position) ~8 consumers, weapon-g fork, projectile bare-sphere cull, tracers-vs-houses, bandit building avoidance, grace-bank P2, crash animation, hero colliders)
R4-FLY-7-1	DONE	n/a	n/a	Chad's stick (2026-07-15)	-	VERDICT: brake mechanics GOOD, BRAKE tag GOOD. DEFECTS: (a) "wont let me take off or taxi" -- TWO suspects, both addressed without guessing: a hard-brake PROP BREAK (by-design dead stick, near-zero legibility) and/or a thumb-code mismatch (the R4i speculative BACK(6) down-bind could brake on throttle-up if his driver fires BACK on the forward thumb); (b) aileron press also deflects ELEVATOR on the parked plane -- DIAGNOSED, not built: the rig map is clean (elevator<-pitch only); the emitted PITCH command itself changes because the cascade SUSPENDS PURSUIT while any override is held + holds trim (correct in flight, reads as coupling at rest) -- KERNEL-OWNED, Chad decision; (c) splash one poof, should last the rollout
R4l	DONE	build+ctest 528/528	0	adversarial: GREENLIGHT (no P0/P1/P2)	e71ddf1de	TAXI-BLOCK fixes: [input] game.toml thumb codes (up 4,5 / down 3,-1 -- BACK unbound; input/ stays config-free via caller-built ThumbBinds) + "MB held: n" HUD line (live raylib codes: read the number, set the key, re-run -- never guess a driver again) + ENGINE OUT plate right of the flaps gauge when damage.engine==0 (a prop break now says so on sight, same class as the BRAKE tag). Keys: [input] thumb_up_button_a/b, thumb_down_button_a/b
R4m	DONE	build+ctest 528/528	0	(same review)	e71ddf1de	ROLLING FX (Chad: splash "should last for the duration of the landing until stopped"): the touchdown burst RE-SPAWNS while grounded above [fx] rolling_min_speed_ms 3.0, paced 0.6s by the existing rate-limit scan, material re-tested per spawn (ice->shore switches splash->dust), dies out with the roll. Key: [fx] rolling_min_speed_ms (0 = touchdown-only)
R4-FLY-8	HALT	build+ctest 528/528	0	n/a	-	HALT -- Chad RE-FLIES: (1) taxi/takeoff from a stop -- if still stuck, READ THE SCREEN: ENGINE OUT plate lit = the prop broke (by design; respawn); no plate + BRAKE lit while throttling = thumb codes, hold each thumb + read "MB held: n" + set [input] keys; (2) splash/dust lasts the rollout now, dies at the stop (dial rolling_min_speed_ms); (3) DECISION on the parked-plane elevator: the instructor suspends aim-pursuit while an override is held (correct in flight) -- accept the visual, or sanction a kernel round for grounded-surface passthrough (control/ change, needs his sign-off). THEN fork sandbox/fields-forge -> R5
R4-FLY-8-1	DONE	n/a	n/a	Chad's stick (2026-07-15)	-	VERDICT: ENGINE OUT tag WORKED (the taxi block WAS the broken prop); landing + takeoff WORK. NEW FEEL ASK: takeoff too hard -- "need more speed gain / more lift; speed builds very slowly". DIAGNOSIS (from aircraft.toml, no code defect): T_max 9000 / m 3000 = 0.31g static; minus [ground] friction 0.08 -> net ~2.2 m/s^2 (a REAL 109 is ~2.7 on grass); liftoff release needs L > mg = ~41 m/s clean at Cl_max 1.8, ~37 combat flap, ~34 landing flap (dCl_flap 0.8 applies rolling, drag tax negligible at these speeds) -> ~19 s clean roll. His 25->16 m/s "lifted off a bit" = free pitch ROTATION reading as lift (max lift at 25 m/s = 0.37g, release impossible). DIALS OFFERED (his stick, one per flight): (1) TAKE OFF WITH FLAPS (technique, free: 1xF combat ~37, 2xF landing ~34); (2) [ground] friction 0.08->0.04 (net 2.2->2.6); (3) the real "speed gain" lever = aircraft.toml T_max (SEALED-KERNEL dial: changes the whole airborne envelope -- a feel-thread session, he flies); (4) new LAWS (ground effect / prop-wash lift) = sanctioned kernel round if he wants them. STILL OPEN from R4-FLY-8: splash-duration verdict + the parked-elevator decision
R4-FLY-8-2	DONE	n/a	n/a	Chad's stick (2026-07-15 EOD)	-	VERDICT: takeoff WITH FLAPS confirmed working ("I could take off with the flaps down"); GROUND EFFECT kernel round DEFERRED by Chad ("later once the whole map is done"); PARKED-ELEVATOR display discrepancy DEFERRED (same ruling; visual-only, dead stick keeps it inert). "Champion round." => R4 / PHASE 1 SOLID GROUND IS CLOSED
FORK	DONE	n/a	n/a	n/a	652c168aa	sandbox/fields-forge CREATED from the approved green HEAD (652c168aa, gate 528/528, goldens 0) -- Phase 2 precondition MET per Chad. Next agent: git checkout sandbox/fields-forge, then R5 (step 0 Fable-BEFORE on the Phase-2 seam is MANDATORY)
PLAN	PLAN	n/a	n/a	Fable-BEFORE (fresh context, MANDATORY step 0): SOUND-WITH-FIXES	-	R5 seam plan red-teamed BEFORE building. Design verified: g_at single-source (null => literal p.g, bit-identical), closed-form binding_energy_above via erfc CONFIRMED (K=18442.52 J/kg; v_esc 237.708 @4km / 367.40 @0 / 192.05 @5km), E_spec exact for arbitrary trajectories (central conservative field). P1 FOLDS: (1) relax BOTH radial tripwires (assert_gravity_radial AND assert_applied_impulse_radial -- the impulse one aborts on the same S=0+thrust=0 path) to direction-only-when-length>0 (null path keeps them full-strength: length always g>0 there); (2) TAIL-CLIP g_at to exact 0.0 at x>=26 (the underflow abort actually begins ~46 km via dot(v,v) subnormals + a 45.2-46.0 km shell where normalize() precision misses the 1e-12 tolerance -- the clip makes the regime unrepresentable; binding closed form needs no branch, error ~1e-143; epsilon-floor REJECTED: makes binding infinite, breaks escape); (3) the AT suite must exercise the erfc TAIL: in-band pin binding(h_g0+sigma)=K*erfc(1/sqrt2)=5852.00 rel 1e-9 + independent Simpson quadrature cross-check rel 1e-8 (a sigma-vs-sigma*sqrt2 arg bug passed the originally proposed suite). CLIMB AT bracket (bisected on the real discrete map, dt=1/120): threshold 237.747 (+0.039 symplectic offset, ZERO secular drift, 9.7 J/kg one-sided band); v_lo=236.0 falls back (apex 8424 m @73.8s), v_hi=240.0 escapes (h>9500 @72s, E_spec>=+537.7 every tick); criterion = at t=90s: h>h_g0+3sigma AND v_r>0 AND E_spec>0 throughout (NOT altitude-diverges -- v_inf=32.8 m/s needs 392 s to 20 km); S=0 test params (kills lift+drag+wvane in one param, ARMS the impulse tripwire for free). P2 folds: env_ptr structural kill (any-live or unconditional &env), binding null => +inf pinned by AT, sigma loader floor 50, deck pin at h=0 (367.40 -- the section-3.B table 367 is h=0 not 120 AGL). Census CLEAN: ground.h p.g exact below the h_g0 floor 1000; load_factor STAYS g0-units (G-meter/limits share units); G-clamp deferral PROVABLY safe (a sign flip needs |cosPhiTheta|>9, impossible); weapon-g + pipper move TOGETHER later (no fork today, cross-agent); drones have no g consumer, an escaped bandit never respawns = the designed bait reward. Integrator: dt*sqrt(dg/dh)=5.2e-4 vs symplectic bound 2 (~3800x margin), no stiffness/resonance. Next rung = R5 build
