schema_version	EvCTAPE-v2
ord	name	units	type	precision	range	sentinel	question_it_answers	source_ref
12	phiInt	deg	float	2	(-inf,+inf) unbounded accumulator, resets to 0 on each m, marker	NA	How much did it roll while pointing through the vertical, where bankRaw and the control law both go blind together? The claim-2/claim-3 measurement.	PREFLIGHT-GATE.md Sec5 field12; PREFLIGHT-GATE.md M3; field-map.md row12 (NEW persistent accumulator, integrates flightEngine.rollVel*dt in deg; rate source FlightPhysics.luau:193,434-435; reset mechanism is the m, marker itself, part of M1/M4)
13	bankRaw	deg	float	2	[-90,90] asin range	NA	Comparability: the legacy asin(-Right.Y) bank definition, crushed to near-zero at the vertical, retained so old rows compare.	PREFLIGHT-GATE.md Sec5 field13; field-map.md row13 (asin(clamp(-cf.RightVector.Y,-1,1)) family, BirdController.client.luau:3945,4360,4399,4441,4526,5340,5446; duplicated at print site, curBank is local to computeMouseAim)
14	rollVel	deg/s	float	2	[-720,720] generous envelope bound	NA	How fast did it roll, and (with t) how soon after the deflection? No instrument in the build measures onset latency of anything.	PREFLIGHT-GATE.md Sec5 field14; field-map.md row14 (math.deg(flightEngine.rollVel or 0); unconverted precedent BirdController.client.luau:5083; units confirmed radians/s at FlightPhysics.luau:193, deg/s conversion required)
15	pitchVel	deg/s	float	2	[-720,720] generous envelope bound	NA	Resolve rate: separates a slow command from a slow plant (claim 1).	PREFLIGHT-GATE.md Sec5 field15; field-map.md row15 (math.deg(flightEngine.pitchVel or 0); unconverted precedent BirdController.client.luau:5083)
16	yawVel	deg/s	float	2	[-720,720] generous envelope bound	NA	Lateral resolve channel / crab.	PREFLIGHT-GATE.md Sec5 field16; field-map.md row16 (math.deg(flightEngine.yawVel or 0); unconverted precedent BirdController.client.luau:5083)
17	rollP	unitless	float	4	[-20,20] hCmd in [-1,1] times aimRollGain (flown value 7.5)	NA	Did the pointing law ask for roll? Contributor 1 of 8 to the roll sum.	PREFLIGHT-GATE.md Sec5 field17; PREFLIGHT-GATE.md M2; field-map.md row17 (rollP = -hCmd*(C.aimRollGain or 2.0) at BirdController.client.luau:4517, captured :4521 via the aimCursor table. LINE REFS CORRECTED S65, was :4464. WARNING: rollP is RESCALED at :4533 by ceilFade AFTER this capture -- deliberately, per the comment at :4518-4520 -- so inside the ceilFade shoulder (|bank| > aimRollCeilingDeg-20) this field is NOT what entered rollSum. reconcile_roll.py excludes those rows.)
18	rollLvl	unitless	float	4	[-20,20] levelAssist bound	NA	Did the leveller ask for roll? Contributor 2, levelAssist alone, distinct from the mixed rollLevel local.	PREFLIGHT-GATE.md Sec5 field18; PREFLIGHT-GATE.md M2; field-map.md row18 (levelAssist = curBank*(C.aimLevelGain or 0.9)*(1-min(1,abs(hCmd)))*max(0,cf.UpVector.Y) at BirdController.client.luau:4491-4492, captured :4495 fully-formed. LINE REFS CORRECTED S65, was :4441-4442. NOTE: when the dwell block runs (:4640) rollLevel loses levelAssist*dwellRamp at :4649, so this field's CONTRIBUTION to rollSum is 18*(1-25), not 18. The data is sufficient -- field 25 carries dwellRamp -- but the identity must apply the factor.)
19	rollDmpR	unitless	float	4	[-20,20]	NA	Did the roll-rate damper ask for roll? Contributor 3; noted to pin at +-1 through a boosted level-off.	PREFLIGHT-GATE.md Sec5 field19; PREFLIGHT-GATE.md M2; field-map.md row19 ((C.aimRollDamp or 0.30)*rollRate01 at BirdController.client.luau:4526, captured :4529. LINE REFS CORRECTED S65, was :4465. SIGN: SUBTRACTED in rollLevel at :4528 -- the identity is -19, not +19. aimRollDamp=0.58 flown, so omitting it from the identity is not a small error.)
20	rollDmpH	unitless	float	4	[-20,20]	NA	Did the heading-rate damper ask for roll? Contributor 4, opposite sign convention from field 19, must never be merged with it.	PREFLIGHT-GATE.md Sec5 field20; PREFLIGHT-GATE.md M2; field-map.md row20 ((C.aimHeadDamp or 0)*headRate01 at BirdController.client.luau:4527, captured :4530. LINE REFS CORRECTED S65, was :4465. SIGN: ADDED at :4528, opposite to field 19 -- the two must never be merged. aimHeadDamp=0.45 flown.)
21	dwellT	unitless	float	4	[-20,20]	NA	Did the dwell term ask for roll? Contributor 5, captured immediately before the :4699 zeroing.	PREFLIGHT-GATE.md Sec5 field21; PREFLIGHT-GATE.md M2; field-map.md row21 (dwellTerm final shaped value, captured at BirdController.client.luau:4774 in the statement immediately before dwellTerm=0 at :4775; fallback capture at :4781 when dwellLevelUniform is false. LINE REFS CORRECTED S65, was :4699. ⚠ CRITICAL FOR ATTRIBUTION: when the dwell block ran, :4775 zeroes dwellTerm BEFORE the sum at :4786 -- so this field records a term that contributed EXACTLY ZERO to rollSum. It is the dwell BOOST (field 22), not this, that carries the dwell command on those frames. Reading field 21 as a contributor to rollSum is a category error and was the single largest source of the S64 non-reconciliation.)
22	dwellB	unitless	float	4	[-20,20] unclamped, bypasses both the clamp at :4702 and the aimResponse filter	NA	Did the dwell boost ask for roll? Contributor 6, the term with the most authority in the system.	PREFLIGHT-GATE.md Sec5 field22; PREFLIGHT-GATE.md M2; field-map.md row22 (aimCursor.dwellBoost, BirdController.client.luau:4684,4686,4697,4701; already escapes computeMouseAim via the table, no new hoist)
23	dwellD	unitless	float	4	[-20,20]	NA	Did the dwell's own damper ask for roll? Contributor 7, added to fix a 2Hz ring; must stay separable from field 22 to judge whether the fix worked.	PREFLIGHT-GATE.md Sec5 field23; PREFLIGHT-GATE.md M2; field-map.md row23 (dd*rollRateN*aimCursor.dwellRamp, inline at BirdController.client.luau:4697 inside the C.dwellRamp>0 guard at :4695, hoist required, defaults 0 outside the guard)
24	kbRoll	unitless	float	4	[-1,1]	NA	Did the pilot's own hand roll it? Contributor 8; falsifies "the game rolled me" per frame, drives the key-exclusion attribution rule.	PREFLIGHT-GATE.md Sec5 field24; PREFLIGHT-GATE.md Sec6.4 step2; field-map.md row24 (kbRoll = rampAxis(rollRamp, kb.roll, tapB, rampB, dt), BirdController.client.luau:4783, already in scope at the print site)
25	dwellRamp	unitless	float	4	[0,1]	NA	Was the dwell term large, or was the gate open? Separates magnitude from gate state.	PREFLIGHT-GATE.md Sec5 field25; field-map.md row25 (aimCursor.dwellRamp, set BirdController.client.luau:4514,4518, read directly at print site)
26	rollSum	unitless	float	4	[-20,20] pre-clamp sum; identity = 17 + 18*(1-25 if dwell block ran else 1) - 19 + 20 + (0 if dwell block ran else 21). CORRECTED S65: the old text "pre-clamp sum of fields 17+18+21" was WRONG (dampers excluded, :4775 zeroing unaccounted) and reconciled 1.2% of rows; the identity above reconciles 85.3%. Checked by tools/reconcile_roll.py, never by eye. "dwell block ran" = header dwellLevelUniform=true AND field 25 > 0.	NA	What did the control law actually ask for, before saturation? The pre-clamp value never recorded on the 2026-08-02 tape.	PREFLIGHT-GATE.md Sec5 field26; PREFLIGHT-GATE.md M2; field-map.md row26 (rollSum = rollP + rollLevel + dwellTerm at BirdController.client.luau:4786, captured :4787; rollLevel built at :4528 and faded at :4649; dwellTerm ZEROED at :4775 immediately after field 21 is captured at :4774)
27	rollSat	bitfield	int	0	[0,3] bit1=clamp at :4702, bit2=clamp at :4899	NA	Was the roll command saturated? Without this a clamped 2.4 is byte-identical on tape to a healthy 1.0, and saturation is expected to be common at aimRollGain=7.5, dwellLevelRateMult=1.88.	PREFLIGHT-GATE.md Sec5 field27; field-map.md row27 (bit1=(abs(rollSum)>1), bit2 needs a matching hoist of kbRoll+aimApplied.roll*aimGate at BirdController.client.luau:4899, NEW composed value from fields 26 and the field-28 pre-clamp sum)
28	rollOut	unitless	float	4	[-1.5,1.5] post-clamp plus rollBoost addition can slightly exceed +-1	NA	What actually reached the plant? Closing identity check against contributors 17-27.	PREFLIGHT-GATE.md Sec5 field28; field-map.md row28 (inputState.roll = clamp(kbRoll+aimApplied.roll*aimGate,-1,1)+(aimApplied.rollBoost or 0)*aimGate, BirdController.client.luau:4899-4900, already a table field in scope)
29	pitchOut	unitless	float	4	[-1,1]	NA	Claim 1's command channel; claim 2's loop driver.	PREFLIGHT-GATE.md Sec5 field29; field-map.md row29 (inputState.pitch = clamp(kbPitch+aimApplied.pitch*aimGate,-1,1), BirdController.client.luau:4893, read directly)
30	pushW	unitless	float	4	[0,1]	NA	Was the knife-edge push subsystem engaged? Emitted outside the C.aimPushMode gate per M6b so a disabled subsystem reads 0.00 explicitly, never as silence.	PREFLIGHT-GATE.md Sec5 field30; PREFLIGHT-GATE.md M6(b); field-map.md row30 (aimCursor.pushW or 0, read after the whole if/elseif block closes at BirdController.client.luau:4236; set :4226, nil'd when mode is off :4229-4235)
31	kEff	unitless	float	4	[0,2] kLine in [0,2] times up to four [0,1] fade factors	NA	Did the ruled lineHoldFF=1.0 change do anything? kEff is multiplied by cosElev and uprightFade, both to 0 at the vertical, so the ruled change may be inert exactly where claims 2 and 3 live, and nothing on the current tape says so.	PREFLIGHT-GATE.md Sec5 field31; field-map.md row31 (kEff = kLine*cosElev*uprightFade*knifeFade*pushFade, BirdController.client.luau:4296, inside if kLine>0 gate at :4268; hoist required: local kEff=0 declared above the gate so the field is ungated)
32	mouseDx	px	float	2	(-inf,+inf) per-frame mouse delta in pixels; typical |dx| < 200 at 60 fps, unbounded on a fast flick so NO numeric bound is asserted	NA	What did the pilot ask for on the primary control axis? The mouse IS the stick on this aircraft (computeMouseAim swings the virtual cursor by this delta) and until v2 no mouse quantity was recorded at all -- 31 fields answering what the AIRCRAFT did, none answering what the PILOT asked. This is the EFFECTIVE delta the aim law consumed: after the _G.__evcSynthDelta instrument add and after the release-guard zeroing, so an F4 sweep frame and a release-guard frame both record the value the maths actually used, and a replay that REPLACES the delta reproduces the frame exactly. 0.00 on a frame where computeMouseAim did not run (mouse-aim off, free-look, or right-click zoom) -- a true statement about the aim path, not a claim that the pilot's hand was still; keyMask bit256 distinguishes free-look.	S65-REPLAY-FEASIBILITY.md Sec2 (the three missing columns); RECORDER-CONTRACT R5 (append trailing columns); BirdController.client.luau:3754 delta=UserInputService:GetMouseDelta(), :3756 synth add, :3766-3769 release-guard zero; captured to aimCursor.tapeMouseDx immediately after the guard, consumed-and-cleared in evcEmitRow so a frame that never ran computeMouseAim cannot inherit a stale delta
33	mouseDy	px	float	2	(-inf,+inf) per-frame mouse delta in pixels; typical |dy| < 200 at 60 fps, unbounded on a fast flick so NO numeric bound is asserted	NA	The pitch half of the same question as ord 32. Sign convention is RAW SCREEN delta, NOT the invertPitch-resolved value: invertPitch is a config knob the header records, so recording the raw delta keeps the tape a record of the pilot's hand and lets the replay apply the same knob the flight applied. Same 0.00-when-the-aim-path-did-not-run semantics as ord 32.	S65-REPLAY-FEASIBILITY.md Sec2; BirdController.client.luau:3754 (delta.Y, before the `(C.invertPitch and delta.Y) or -delta.Y` resolution at :3772); captured to aimCursor.tapeMouseDy alongside ord 32
34	keyMask	bitfield	int	0	[0,511] bit1=pitch>0 bit2=pitch<0 bit4=roll>0 bit8=roll<0 bit16=yaw>0 bit32=yaw<0 bit64=LeftShift(flap up) bit128=LeftControl(flap down) bit256=free-look active	NA	Which keys did the pilot hold? The second half of what-the-pilot-asked. Bits 1-32 are the QWEASD flight axes read from the kb table's RAW +-1/0 targets -- the same values CS-1's aimGate reads at :5083, so this field also witnesses WHY mouse-aim was muted on a given frame, which no field could say before. Bits 64/128 are the flap-throttle keys, the only other input that reaches the plant (:5103-5104) and previously invisible: flapThrottle is sticky, so a tape could show thrust with nothing on it explaining where the thrust came from. Bit256 records free-look, under which the mouse drives the camera instead of the aim path and ords 32/33 correctly read 0.	S65-REPLAY-FEASIBILITY.md Sec2 (a key bitmask); BirdController.client.luau:197 (kb table), :5083 (the same raw kb.* the aimGate reads), :5103-5104 (LeftShift/LeftControl), :230/:433 (freeLook.active); composed inside evcEmitRow from module-level upvalues so onFlightStep gains NO new local (tests/compile.spec S41 register floor)
